data;tmin;tmax;tmed
05/11/2005;28.2;11.6;18.5
06/11/2005;21.5;13;15.8
07/11/2005;18.5;9;15
08/11/2005;19;11.8;15.3
09/11/2005;21.4;9.4;15
10/11/2005;18.3;12.2;15.1
11/11/2005;21.8;12.8;17.1
12/11/2005;24.5;13.6;17.9
13/11/2005;28;13.6;19.7
14/11/2005;28;12.8;21
15/11/2005;28.5;15.2;21.7
16/11/2005;28.4;13.6;20.9
17/11/2005;21.2;16.6;19
18/11/2005;27.5;16.6;21.5
19/11/2005;26;16.2;20.8
20/11/2005;27.2;13.2;19
21/11/2005;29.5;10.8;20
22/11/2005;29.8;14.4;21.7
23/11/2005;29.6;11.8;21.3
24/11/2005;23.5;17.2;19.6
25/11/2005;24.6;15;18.4
26/11/2005;25.5;11.2;8.5
27/11/2005;26;10.2;18.2
28/11/2005;26.5;11.8;19.2
29/11/2005;30.4;15.4;21.5
30/11/2005;30.7;16;22.2
01/12/2005;27.8;17.6;22
02/12/2005;23.5;16;18.5
03/12/2005;24;12.6;16.5
04/12/2005;28;16.4;20.3
05/12/2005;24.5;12.6;18.7
06/12/2005;24;11.8;17.4
07/12/2005;23.2;9.2;16.3
08/12/2005;25.8;13;19
09/12/2005;30;15.2;22
10/12/2005;24.4;13;18.1
11/12/2005;22;13.4;17
12/12/2005;23.6;14.6;17.9
13/12/2005;25.5;14;18.2
14/12/2005;27.4;14.4;19.9
15/12/2005;26.2;15.5;18.9
16/12/2005;27.5;12.6;19.9
17/12/2005;25.4;16;20.2
18/12/2005;22;15.2;19.1
19/12/2005;27.8;13;19.4
20/12/2005;23.5;15.2;18.5
21/12/2005;24.5;16.6;20.1
22/12/2005;30.3;18.4;23.3
23/12/2005;30.6;17;21.7
24/12/2005;27.2;14.6;20
25/12/2005;27.4;15;19.9
26/12/2005;20.2;13.8;16.3
27/12/2005;22.6;14.6;18.2
28/12/2005;27;14.2;20
29/12/2005;27.6;13.8;21.6
30/12/2005;27.6;15.6;21.3
31/12/2005;26.6;16;20.2
01/01/2006;25.1;15.2;19.7
02/01/2006;26.5;15.8;20.5
03/01/2006;26.6;15.8;21.6
04/01/2006;29.6;17;22.4
05/01/2006;25.6;16.6;21.2
06/01/2006;28.8;17.5;22.3
07/01/2006;31;17.4;23.7
08/01/2006;32.6;18.2;25
09/01/2006;31.6;19;24.1
10/01/2006;32;17.6;24.1
11/01/2006;31.2;16.4;23.4
12/01/2006;30.4;16;21.6
13/01/2006;29.2;16;22.2
14/01/2006;30.4;19;23.5
15/01/2006;32.2;19;24.9
16/01/2006;33;17.2;24.4
17/01/2006;31.5;17;21.7
18/01/2006;24.5;16;19.8
19/01/2006;22;17;19.3
20/01/2006;28.2;16.5;21.9
21/01/2006;28.6;17.4;21.6
22/01/2006;27.2;17;21.3
23/01/2006;23.8;18;20.9
24/01/2006;26.6;19;21.4
25/01/2006;23.5;18;20.4
26/01/2006;27.6;17;21.1
27/01/2006;26.2;17;20.7
28/01/2006;25;20;21.1
29/01/2006;28;17.5;21.1
30/01/2006;29.6;15;20.8
18/10/2006;21;13;16.2
19/10/2006;23;13.6;16.8
20/10/2006;21.8;13;16.2
21/10/2006;24;11.8;16.9
22/10/2006;25;12.8;17.5
23/10/2006;23.8;13;17.3
24/10/2006;25;12.5;18
25/10/2006;28;14;19.8
26/10/2006;29;13;21.1
27/10/2006;30;13.5;21.3
28/10/2006;32.2;14;22.9
29/10/2006;31;13.6;22
30/10/2006;30;18;23.3
31/10/2006;29;17;21.1
01/11/2006;21.8;17;19.5
02/11/2006;27.4;16.5;20.3
03/11/2006;26.2;17;21
04/11/2006;21.6;16.8;18.2
05/11/2006;23.4;16;19.3
06/11/2006;20.6;16;18.8
07/11/2006;24.4;14;17.6
08/11/2006;24.2;8;14.2
09/11/2006;20;8;14.3
10/11/2006;22.3;4;13.2
11/11/2006;23.2;4.5;14.5
12/11/2006;21;12;15.2
13/11/2006;22.7;10;15.7
14/11/2006;23.4;11;17.1
15/11/2006;27.6;14;20.6
16/11/2006;30.4;15;22.4
17/11/2006;29;15;22.8
18/11/2006;22.2;17.8;18.9
